email,name,stage,status
halvorson.estelle@hotmail.com,שאול,1,
anibal98@collins.org,שלומי,2,
schultz.alyce@gmail.com,איוון,3,
claude67@considine.biz,משה,4,
mitchell.jared@yahoo.com,מנגיסטו,5,
zoey84@gmail.com,אייל,6,
lorenzo59@larson.biz,אברהם,4,
borer.bridgette@jacobs.com,עומר,6,
woodrow.ankunding@hotmail.com,דוד,2,
kirsten.reilly@yahoo.com,עומר,3,
zora15@daniel.com,עמוס,5,
qorn@gmail.com,חיים,1,
juwan73@zieme.com,ליאור,2,
amorar@gmail.com,יוסף,3,
judd.veum@hotmail.com,אבשלום,6,
maci.bartoletti@yahoo.com,יונתן,4,
skerluke@hotmail.com,יוהנתן,4,
graham.keaton@yahoo.com,איילון,3,
annetta28@hotmail.com,שחר,2,
jaskolski.thea@yahoo.com,אור,1,
gwillms@cremin.com,ראובן,2,
elaina33@yahoo.com,אברהם,2,
theo92@gmail.com,דוד,1,
ratke.mariah@gmail.com,מאי,3,
nova.stracke@ebert.info,נדב,4,
batz.melyssa@hotmail.com,שמואל,5,
dsenger@upton.com,אלון,6,
